조사년도,해역,연안명칭,수온 표층,수온 저층,염분 표층,염분 저층,수소이온농도 표층,수소이온농도 저층,용존산소량 표층,용존산소량 저층,화학적산소요구량 표층,화학적산소요구량 저층,암모니아질소 표층,암모니아질소 저층,아질산성 질소 표층,아질산성 질소 저층,질산성질소 표층,질산성질소 저층,용존무기질소 표층,용존무기질소 저층,총질소 표층,총질소 저층,용존무기인 표층,용존무기인 저층,총인 표층,총인 저층,규산규소 표층,규산규소 저층,부유물질 표층,부유물질 저층,클로로필 표층,클로로필 저층,투명도 표층
2023,대한해협,울산연안,18.08 ,13.80 ,33.33 ,34.12 ,8.21 ,8.11 ,8.41 ,7.54 ,1.68 ,1.40 ,2.47 ,5.47 ,6.14 ,9.38 ,49.60 ,123.60 ,58.21 ,138.42 ,141.11 ,227.65 ,9.82 ,21.34 ,19.29 ,33.43 ,234.41 ,432.29 ,5.80 ,12.55 ,1.92 ,0.67 ,7.63 
2023,대한해협,통영연안,18.00 ,17.19 ,32.83 ,33.10 ,8.06 ,8.05 ,8.19 ,7.61 ,1.70 ,1.54 ,12.93 ,41.74 ,5.04 ,6.59 ,40.97 ,54.46 ,58.94 ,102.79 ,203.80 ,202.25 ,11.12 ,16.96 ,29.45 ,30.49 ,292.90 ,413.00 ,10.98 ,10.61 ,2.92 ,2.58 ,3.83 
2023,대한해협,통영외안,18.04 ,16.10 ,33.20 ,33.73 ,8.13 ,8.07 ,8.34 ,7.25 ,1.58 ,1.76 ,2.34 ,13.57 ,3.30 ,5.74 ,36.28 ,60.56 ,41.92 ,79.87 ,146.31 ,186.24 ,7.68 ,13.95 ,21.05 ,24.58 ,213.06 ,390.18 ,11.22 ,17.20 ,1.73 ,1.61 ,5.38 
2023,서남해역,고창연안,16.64 ,16.57 ,31.35 ,31.38 ,7.83 ,7.88 ,8.61 ,9.13 ,1.92 ,2.31 ,32.47 ,33.48 ,4.96 ,4.95 ,61.97 ,62.98 ,99.39 ,101.43 ,268.36 ,289.14 ,14.42 ,14.36 ,40.53 ,44.38 ,282.98 ,289.65 ,61.89 ,93.97 ,2.45 ,2.76 ,0.91 
2023,서남해역,고흥연안,17.75 ,17.19 ,32.71 ,32.79 ,8.12 ,8.13 ,8.40 ,8.08 ,1.45 ,1.67 ,5.60 ,11.34 ,8.74 ,9.26 ,38.38 ,41.88 ,52.71 ,62.50 ,159.96 ,173.85 ,9.58 ,10.31 ,24.72 ,27.07 ,277.51 ,291.00 ,31.40 ,38.98 ,1.71 ,1.92 ,2.38 
2023,서남해역,도암만,17.62 ,17.06 ,32.36 ,32.56 ,8.11 ,8.11 ,7.92 ,7.91 ,1.40 ,1.40 ,33.04 ,33.95 ,7.57 ,8.33 ,61.85 ,62.43 ,102.45 ,104.69 ,218.09 ,206.61 ,20.98 ,19.02 ,33.74 ,32.72 ,431.96 ,387.22 ,9.55 ,10.90 ,0.70 ,0.56 ,2.48 
2023,서남해역,무안연안,16.79 ,16.77 ,31.32 ,31.33 ,7.97 ,7.97 ,8.81 ,8.87 ,1.67 ,1.92 ,19.23 ,12.51 ,6.72 ,6.71 ,98.70 ,96.40 ,124.65 ,115.63 ,248.56 ,255.35 ,12.92 ,13.40 ,36.72 ,37.86 ,294.45 ,295.32 ,53.94 ,66.44 ,1.38 ,1.54 ,1.18 
2023,서남해역,신안연안,16.68 ,16.60 ,31.59 ,31.66 ,7.95 ,7.97 ,8.60 ,8.78 ,1.62 ,1.64 ,14.11 ,12.93 ,4.90 ,5.00 ,90.78 ,98.73 ,109.80 ,116.65 ,257.86 ,245.94 ,14.57 ,15.88 ,34.06 ,31.97 ,265.96 ,286.84 ,57.88 ,76.98 ,1.04 ,1.27 ,0.99 
2023,서남해역,완도연안,17.15 ,16.07 ,32.68 ,32.97 ,8.16 ,8.15 ,8.16 ,7.93 ,1.30 ,1.47 ,19.38 ,19.51 ,5.61 ,6.78 ,59.94 ,63.68 ,84.93 ,89.97 ,195.60 ,187.96 ,13.39 ,13.33 ,26.49 ,29.70 ,309.21 ,295.49 ,9.28 ,14.52 ,0.91 ,0.85 ,2.57 
2023,서남해역,진도연안,16.78 ,16.26 ,32.17 ,32.30 ,8.09 ,8.11 ,8.51 ,8.20 ,1.65 ,1.54 ,12.50 ,12.41 ,3.98 ,5.64 ,81.94 ,93.06 ,98.42 ,111.11 ,217.69 ,217.65 ,13.17 ,14.81 ,30.41 ,33.37 ,311.59 ,334.78 ,24.31 ,37.20 ,1.38 ,1.17 ,1.37 
2023,서해중부,가로림연안,13.40 ,13.43 ,31.31 ,31.31 ,7.95 ,7.99 ,9.06 ,9.10 ,1.73 ,1.56 ,7.92 ,9.22 ,3.60 ,3.68 ,120.48 ,123.38 ,132.00 ,136.28 ,256.66 ,269.76 ,17.82 ,18.06 ,30.34 ,29.57 ,247.89 ,251.43 ,18.65 ,18.16 ,1.24 ,1.49 ,1.83 
2023,서해중부,대산연안,13.22 ,13.22 ,30.94 ,30.98 ,7.95 ,7.98 ,9.18 ,9.30 ,1.63 ,1.70 ,15.16 ,22.81 ,5.35 ,5.01 ,136.77 ,135.03 ,157.26 ,162.83 ,285.31 ,279.97 ,18.22 ,17.82 ,32.42 ,32.48 ,247.04 ,241.75 ,14.32 ,18.95 ,1.38 ,1.54 ,2.17 
2023,서해중부,태안연안,13.60 ,13.66 ,31.50 ,31.49 ,7.81 ,7.84 ,8.96 ,9.07 ,1.58 ,1.27 ,7.10 ,6.34 ,3.45 ,3.51 ,95.90 ,96.82 ,106.44 ,106.67 ,250.34 ,247.48 ,15.39 ,15.97 ,30.46 ,28.96 ,242.24 ,249.75 ,15.36 ,16.84 ,1.15 ,1.69 ,2.44 
2023,제주,대정연안,19.31 ,18.35 ,33.66 ,33.96 ,8.16 ,8.15 ,8.51 ,8.57 ,0.99 ,0.86 ,15.26 ,14.53 ,2.88 ,3.28 ,42.31 ,60.29 ,60.45 ,78.11 ,159.36 ,184.12 ,5.69 ,8.61 ,12.47 ,15.74 ,152.71 ,209.71 ,28.69 ,27.63 ,1.13 ,0.48 ,11.25 
2023,제주,서귀포연안,19.73 ,18.55 ,33.61 ,33.93 ,8.21 ,8.16 ,8.95 ,8.38 ,1.21 ,0.90 ,6.89 ,7.65 ,2.58 ,2.82 ,56.32 ,51.84 ,65.79 ,62.31 ,150.43 ,143.36 ,4.69 ,8.76 ,10.96 ,14.54 ,260.36 ,212.40 ,26.10 ,27.64 ,1.26 ,0.69 ,10.88 
2023,제주,성산연안,19.16 ,17.98 ,33.57 ,33.97 ,8.22 ,8.18 ,8.83 ,8.01 ,1.20 ,1.01 ,13.06 ,5.91 ,2.41 ,3.86 ,27.45 ,51.65 ,42.93 ,61.42 ,140.23 ,159.18 ,4.11 ,7.31 ,11.61 ,15.52 ,133.10 ,198.78 ,25.66 ,23.58 ,1.13 ,0.83 ,10.19 
2023,제주,제주연안,19.46 ,18.78 ,33.27 ,33.58 ,8.21 ,8.19 ,8.42 ,8.28 ,0.98 ,1.09 ,14.27 ,12.30 ,2.75 ,3.69 ,36.48 ,49.37 ,53.50 ,65.35 ,142.57 ,170.65 ,5.05 ,6.49 ,13.18 ,14.98 ,176.03 ,177.32 ,30.96 ,23.40 ,1.28 ,1.04 ,9.97 
2023,제주,조천연안,19.22 ,17.76 ,33.33 ,33.91 ,8.21 ,8.17 ,8.43 ,8.21 ,1.08 ,1.06 ,7.51 ,11.01 ,2.93 ,3.55 ,36.74 ,54.84 ,47.19 ,69.40 ,154.88 ,158.20 ,5.35 ,8.25 ,13.49 ,16.87 ,137.59 ,234.24 ,27.92 ,23.37 ,1.84 ,1.01 ,9.67 
2023,제주,표선연안,19.44 ,18.61 ,33.54 ,33.87 ,8.25 ,8.21 ,8.88 ,8.25 ,1.31 ,1.11 ,8.57 ,12.67 ,2.58 ,3.67 ,37.08 ,53.99 ,48.23 ,70.33 ,165.41 ,188.91 ,5.09 ,8.20 ,15.63 ,16.54 ,195.97 ,212.29 ,25.46 ,26.40 ,2.04 ,0.99 ,9.50 
2023,제주,한림연안,19.23 ,18.81 ,33.52 ,33.72 ,8.18 ,8.17 ,8.64 ,8.51 ,1.22 ,1.05 ,18.62 ,20.73 ,3.01 ,3.26 ,50.39 ,62.10 ,72.02 ,86.08 ,148.31 ,167.04 ,7.15 ,8.76 ,13.03 ,14.87 ,191.50 ,214.02 ,26.28 ,25.75 ,0.61 ,0.43 ,10.44 
